"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NCR3",3.27212907857994e-37,0.791218976809071,0.244,0.008,4.64838656903066e-33
"MGAT4A",1.42773261933203e-06,0.79031964479743,0.463,0.171,0.0202823695902309
"TFDP2",1.04447932465905e-11,0.790074573552891,0.341,0.066,1.48378732861065e-07
"OCIAD2",8.41335358850931e-22,0.788732970622992,0.293,0.025,1.19520101078363e-17
"CD27",1.04685618167037e-25,0.780439695780895,0.22,0.011,1.48716389168093e-21
"ZNF683",5.17700440595404e-49,0.779171673207172,0.195,0.002,7.35445245909831e-45
"CAMK4",1.70339659284354e-14,0.775814043735379,0.244,0.028,2.41984519979353e-10
"PCED1B",9.94568236474654e-26,0.772549056514231,0.244,0.014,1.41288363673589e-21
"USP28",3.3007617548096e-11,0.768410751342749,0.366,0.073,4.68906214888252e-07
"CHST12",9.12785799494904e-10,0.764447373792405,0.366,0.084,1.29670350676246e-05
"MTERF4",1.14799494169052e-09,0.761463330747167,0.463,0.127,1.63084161416555e-05
"APBA2",6.08569417449512e-23,0.759692208014992,0.268,0.02,8.64533714428776e-19
"SPTAN1",4.0253954003104e-09,0.756240963039243,0.512,0.155,5.71847670568095e-05
"PRKCQ",2.36911803673098e-33,0.751026329292084,0.268,0.012,3.36556908298003e-29
"EVL",1.79021700471778e-07,0.750364442745093,0.78,0.371,0.00254318227690208
"GCC2",1.11226144755206e-07,0.748710954964044,0.732,0.347,0.00158007861239245
"CCSER2",3.71019542631106e-07,0.740351236001577,0.439,0.148,0.00527070362261749
"ZNF276",6.45671096729732e-08,0.739149028540929,0.439,0.136,0.000917240360014258
"BCL9L",1.46046730438406e-10,0.739069855551822,0.366,0.079,2.07473985260799e-06
"KLRC4",4.18085834760419e-53,0.737862009451712,0.22,0.003,5.93932736860651e-49
"NFATC2",2.46212057723362e-27,0.73673679086926,0.268,0.016,3.49768849201808e-23
"CBLB",1.96461337390989e-10,0.735769275915591,0.366,0.08,2.79092975897639e-06
"MATK",2.22503239121977e-23,0.735461771390775,0.244,0.016,3.1608810149668e-19
"TNIK",2.03551339150849e-13,0.7348832716969,0.268,0.036,2.89165032397696e-09
"CD99",5.62751696513431e-07,0.726458083714356,0.78,0.471,0.0079944506006698
"TSPYL2",5.98986171267118e-07,0.715824130002981,0.268,0.067,0.00850919754902067
"DDX24",7.90742862424788e-07,0.707787184345585,0.756,0.357,0.0112332931036065
"CYFIP2",8.4074970742699e-07,0.703854733732564,0.463,0.164,0.0119436903437078
"SYAP1",4.08028846459092e-07,0.701627324685015,0.634,0.281,0.00579645779279786
"LEPROTL1",1.73697811493114e-06,0.701403697130009,0.78,0.411,0.0246755111007118
"GATA3",9.41449838467014e-35,0.698690711208551,0.22,0.007,1.33742364052624e-30
"NUCB2",1.2176200216622e-07,0.698676982051152,0.39,0.114,0.00172975100277332
"LEF1",3.67096198542509e-15,0.690960190461831,0.244,0.026,5.21496859649488e-11
"MED6",1.61108056939039e-07,0.686778660443635,0.439,0.137,0.00228870105687599
"ARID5B",2.8666853594569e-07,0.685094661759312,0.366,0.107,0.00407241322164447
"THEMIS",2.27502821832976e-18,0.676507526951662,0.22,0.017,3.23190508695925e-14
"PATL2",4.07476082037649e-12,0.676024822544079,0.268,0.039,5.78860522142685e-08
"EOMES",5.04265561327615e-39,0.672903449371647,0.195,0.004,7.1635965642201e-35
"GPR174",6.20034064428109e-11,0.672858786955809,0.244,0.038,8.80820391926572e-07
"EMB",8.0381865523262e-07,0.672761113856576,0.805,0.399,0.0114190478162346
"PPP2R5C",6.29708043029073e-08,0.668417804065149,0.927,0.569,0.000894563245927102
"ARHGAP15",8.07185649195366e-07,0.666710129678223,0.415,0.137,0.0114668793324694
"C1orf21",7.40971020284618e-17,0.664697200654104,0.22,0.019,1.05262343141633e-12
"CEMIP2",1.37872938509071e-06,0.663686008703291,0.463,0.165,0.0195862296445986
"MECP2",5.04246702819505e-07,0.661542498481543,0.732,0.32,0.00716332866025388
"SP140",2.67904342421997e-06,0.66058764439397,0.293,0.085,0.0380584908844689
"PRDX2",3.40520930317257e-06,0.660322737550525,0.439,0.165,0.0483744033608695
"PARP8",7.63125071137095e-07,0.658129160393655,0.683,0.29,0.0108409547605736
"SNRPN",3.08437757627234e-08,0.658057083581138,0.317,0.075,0.000438166678485249
"SLC4A7",2.30647236065025e-06,0.657567864189462,0.366,0.117,0.0327657463553975
"ZMYND8",2.78578958450824e-07,0.655576412734699,0.415,0.131,0.00395749268375241
"NLRC5",2.46473039314677e-06,0.655351319028445,0.537,0.209,0.035013959965043
"SLFN12L",1.65038541622823e-24,0.650943702121546,0.244,0.015,2.34453752229383e-20
"NELFCD",7.12515940932949e-07,0.648023947160424,0.39,0.122,0.0101220014568935
"MCOLN2",1.43097906707441e-15,0.643397940557006,0.22,0.021,2.0328488626859e-11
"KLRF1",5.78709570119208e-13,0.642196152744562,0.171,0.015,8.22114815311348e-09
"SYTL3",6.41296021226171e-07,0.641229640890836,0.293,0.078,0.00911025127753898
"ERN1",1.03552515006852e-06,0.640908205717263,0.366,0.111,0.0147106702818734
"PIP4K2A",2.97534691562308e-06,0.636228008929982,0.732,0.379,0.0422677782833415
"LLGL2",7.54045755411031e-21,0.635118610331263,0.22,0.015,1.07119740013691e-16
"TLE5",7.16790569829964e-08,0.634399640154466,0.951,0.654,0.00101827268350045
"PTPN7",2.51765423313409e-06,0.633952859037889,0.293,0.082,0.0357657960359029
"S1PR5",9.08412707053034e-23,0.632814649549286,0.195,0.01,1.29049109163954e-18
"KIF21A",6.63166437270375e-29,0.632724011022891,0.195,0.007,9.42094240786295e-25
"ERGIC2",2.36793860414287e-07,0.631996906528145,0.39,0.114,0.00336389358104536
"TRAPPC2",8.45508196278955e-08,0.628532058882069,0.39,0.105,0.00120112894363388
"COIL",1.64557412577908e-07,0.628070367803314,0.317,0.082,0.00233770260308177
"PITPNC1",2.58698560367648e-06,0.627393342609569,0.415,0.145,0.0367507174858281
"TRAT1",5.27404511338921e-18,0.626511517330901,0.195,0.014,7.49230848808071e-14
"KLHDC4",3.71645091692042e-08,0.613437545646547,0.293,0.065,0.000527959017257715
"NIP7",3.37301973513859e-08,0.611056189397764,0.293,0.064,0.000479171183573789
"CD5",6.06278232495253e-22,0.610983462027301,0.195,0.011,8.61278857082757e-18
"PTPN22",1.94729001680847e-07,0.609093057041826,0.415,0.12,0.00276632019787811
"AP3M2",1.14193787972648e-09,0.607070608547501,0.195,0.027,1.62223695193944e-05
"KIF20B",3.61140376579902e-07,0.60677356695566,0.293,0.072,0.00513036018969409
"CCND2",3.94668636244231e-07,0.606029242814933,0.293,0.074,0.00560666264648555
"PTGDR",2.73785674435835e-23,0.605014149117786,0.171,0.007,3.88939929103547e-19
"TIGIT",9.94787677874193e-23,0.601199261574876,0.195,0.01,1.41319537518808e-18
"ASXL1",2.857177878318e-06,0.59784743063764,0.439,0.154,0.0405890689393856
"TRABD2A",4.62011701866634e-12,0.596238103312437,0.22,0.027,6.5633382367174e-08
"ZBTB25",1.39358783407237e-06,0.590581597440624,0.268,0.068,0.019797308770832
"TSEN54",4.17108521327178e-09,0.586899651300642,0.244,0.043,5.92544365397388e-05
"MSI2",1.04279237489082e-06,0.58637410765424,0.439,0.141,0.0148139084776989
"SLAMF6",2.2162187030536e-27,0.584021630221332,0.195,0.008,3.14836028955794e-23
"KLRK1",3.94877053057416e-32,0.581581968759298,0.171,0.004,5.60962341573365e-28
"ALOX5AP",3.49836138192261e-06,0.57610575886138,0.537,0.206,0.0496977217915926
"ZNF101",1.07449148942831e-08,0.575437801013317,0.268,0.052,0.000152642260988185
"OXNAD1",2.42076205431934e-13,0.573099556216428,0.22,0.024,3.43893457436605e-09
"P2RY10",2.9603759215847e-10,0.572064153930397,0.195,0.026,4.20551003420323e-06
"ZAP70",3.05854643066825e-12,0.569820180621137,0.195,0.021,4.34497105940732e-08
"SEPTIN7",3.0145054963168e-08,0.568147510076294,0.951,0.718,0.000428240650806765
"TSEN15",7.04805144072903e-07,0.566174606899779,0.341,0.095,0.0100124618766997
"TMEM238",1.71506325972146e-07,0.565761262475197,0.244,0.051,0.00243641886676031
"CRY1",4.43402353029071e-09,0.563993752261765,0.244,0.042,6.29897382713098e-05
"ABCA2",1.55609116752626e-12,0.563407982691459,0.195,0.021,2.2105831125878e-08
"MIB2",1.02936615502642e-06,0.561924762755988,0.293,0.076,0.0146231755983053
"CD160",4.43265731608961e-19,0.555110037059776,0.171,0.009,6.29703298323691e-15
"BOLA3",1.06837345109028e-06,0.552688785235515,0.22,0.048,0.0151773132461885
"STMN1",3.67343653627509e-07,0.552408498817037,0.195,0.036,0.00521848394343239
"ZNF32",3.41806262551664e-06,0.546091601341107,0.317,0.091,0.0485569976580894
"PASK",2.65800614606774e-07,0.544194410324127,0.122,0.015,0.00377596353110384
"MMP23B",1.19947309295524e-21,0.54192017768004,0.195,0.011,1.70397147585221e-17
"ABLIM1",4.51831851178096e-11,0.538988560801399,0.195,0.024,6.41872327783603e-07
"RGS1",1.93588667115103e-12,0.537340609477236,0.171,0.016,2.75012060503716e-08
