p_val,avg_log2FC,pct.1,pct.2,p_val_adj
RNF165,5.24586760607887e-260,0.82615917729815,0.186,0.005,7.45227952119564e-256
MLC1,9.13433224573155e-167,0.818057192826377,0.199,0.018,1.29762323882862e-162
TRGC1,9.15427737362497e-122,0.797143770770606,0.31,0.064,1.30045664369716e-117
PLAAT3,6.8455497350844e-78,0.794647153193723,0.334,0.111,9.7247879536609e-74
SACM1L,1.10417678399491e-71,0.793128031435745,0.41,0.169,1.56859353934317e-67
LITAF,1.93722264136088e-156,0.788294046487398,0.922,0.685,2.75201848431727e-152
PRKCH,1.39647939310802e-76,0.787170746627534,0.653,0.356,1.98383862584925e-72
RNF125,1.23739534548469e-68,0.779702540358007,0.615,0.345,1.75784382779555e-64
SLA2,1.74744965426885e-75,0.779253051583484,0.28,0.082,2.48242697885432e-71
DOK2,3.12884226401253e-65,0.777684272835346,0.578,0.323,4.4448333202562e-61
PRDM1,9.27079216995558e-71,0.776081024401503,0.457,0.191,1.31700873566389e-66
STAT4,8.65178643248386e-69,0.769042321319474,0.559,0.276,1.22907278059866e-64
CD81,1.08141773228691e-114,0.765943567581333,0.882,0.57,1.53626203048679e-110
PIP4K2A,1.10721279295942e-89,0.762473852627616,0.749,0.49,1.57290649367815e-85
MYO1F,4.02602232760041e-82,0.759099909463634,0.712,0.393,5.71936731858914e-78
LLGL2,7.77798045250964e-80,0.757975494973941,0.306,0.091,1.10493990308352e-75
HAVCR2,1.50154238767348e-81,0.757464521740877,0.22,0.052,2.13309111592894e-77
OSBPL5,2.74143777323289e-115,0.756488641450921,0.204,0.031,3.89448650065464e-111
NCALD,1.33548917552546e-91,0.755130177672428,0.247,0.056,1.89719592275147e-87
PILRB,2.18598903235956e-65,0.753014387085281,0.352,0.135,3.10541601936999e-61
FKBP11,9.25727784931094e-63,0.751647157977852,0.532,0.269,1.31508889127311e-58
IFITM1,7.69040300417363e-87,0.751199377130448,0.821,0.543,1.09249865077291e-82
MMP23B,2.88630280351593e-106,0.746943809697899,0.209,0.035,4.10028176267473e-102
PLAC8,9.35060543400145e-106,0.742662470405052,0.838,0.584,1.32834700795425e-101
CTPS1,6.39765572519919e-57,0.742535549328237,0.3,0.114,9.08850972321796e-53
F2R,4.33019621917715e-73,0.740062667164093,0.276,0.082,6.15147674896306e-69
MBP,5.5359020719119e-86,0.736892091650236,0.766,0.507,7.86430248335804e-82
TXK,6.52572264001683e-68,0.735543227417614,0.528,0.24,9.27044158240792e-64
VPS37B,6.86177319562839e-53,0.73100695860571,0.433,0.214,9.74783500170969e-49
CAPN12,3.2507027472167e-117,0.729701658964176,0.189,0.025,4.61794832269605e-113
UBE2F,1.23167934947324e-57,0.728277900007913,0.455,0.225,1.74972368386169e-53
PIK3R1,1.81473832338499e-78,0.723206326792432,0.777,0.517,2.57801726220072e-74
BNC2,2.16411449997858e-223,0.722817320352945,0.15,0.003,3.07434105866957e-219
JAK1,6.39294942415356e-188,0.720588519254956,0.96,0.807,9.08182395195255e-184
DHRS1,9.38323627488742e-55,0.718625529125597,0.297,0.112,1.33298254521051e-50
HIPK2,2.99150882622562e-48,0.71818133955737,0.356,0.165,4.24973743853612e-44
ZAP70,6.35420416016485e-57,0.717930905485155,0.508,0.258,9.02678242993019e-53
NMUR1,1.52341390604574e-137,0.714280471594383,0.174,0.017,2.16416179492857e-133
AUTS2,3.31140482665687e-68,0.7115632173618,0.227,0.061,4.70418169674875e-64
DIP2A,5.80063094605621e-54,0.708602427025894,0.37,0.163,8.24037632196745e-50
RRBP1,1.25023821500765e-53,0.707979274245651,0.378,0.173,1.77608840823986e-49
HCST,7.39459735277404e-172,0.707272625818655,0.986,0.807,1.05047649993508e-167
ARHGAP9,7.99041674292822e-54,0.70304792141302,0.489,0.261,1.13511860250038e-49
TSEN54,3.18989961602561e-54,0.700886275619047,0.386,0.17,4.53157139452598e-50
PXN,4.24282538811015e-58,0.700585076652099,0.47,0.23,6.02735774634929e-54
PTPN22,1.47481282600558e-56,0.698414568964807,0.466,0.225,2.09511910062352e-52
IFITM3,2.28716166274269e-54,0.691634195815784,0.45,0.209,3.24914185809227e-50
LAT2,1.82820194040672e-57,0.688570082034506,0.291,0.107,2.59714367654179e-53
RNF166,3.04973832255091e-52,0.686414388993767,0.569,0.348,4.33245826101583e-48
GTF3C1,1.35830540396278e-54,0.686408765544033,0.312,0.122,1.92960865686953e-50
MIB2,1.3888743509808e-47,0.685986082697919,0.357,0.163,1.97303490300332e-43
ITGAL,5.359893180183e-57,0.682985119727739,0.614,0.367,7.61426425176797e-53
IGF2R,2.43552281798539e-43,0.682296469736175,0.428,0.233,3.45990371523005e-39
ADAM8,1.13426775371913e-47,0.679259381567866,0.332,0.146,1.6113407709334e-43
CD244,8.11591194674586e-81,0.677955932976494,0.215,0.049,1.15294645115472e-76
PDE4D,8.86422791689231e-43,0.676780019148464,0.366,0.178,1.25925221787372e-38
CD38,3.21075599287951e-54,0.675668302673027,0.291,0.108,4.56119996348463e-50
B4GALT1,1.02060639270195e-52,0.675073083853759,0.598,0.377,1.44987344147239e-48
