p_val,avg_log2FC,pct.1,pct.2,p_val_adj
EMB,5.64116829376871e-08,0.703943670775881,0.854,0.453,0.000843298248235484
CEP78,2.93402247992433e-17,0.694794366497404,0.439,0.074,4.38607020523888e-13
RPSA,1.45271599051251e-09,0.691880891698533,1,0.944,2.17166513421716e-05
TGFBR3,3.3556539149279e-36,0.681826399843971,0.366,0.023,5.01636703742572e-32
MLLT6,1.26193251967955e-15,0.681322347673071,0.707,0.2,1.88646292366896e-11
SPON2,3.60023087949506e-18,0.674773335515744,0.317,0.037,5.38198514175717e-14
CAMK4,6.24181076119459e-40,0.674753151637109,0.512,0.041,9.33088290690979e-36
CD6,1.30281545524752e-34,0.673246302454169,0.463,0.041,1.94757882404951e-30
TRDC,2.05170881673856e-28,0.671040785342853,0.244,0.012,3.06709951014247e-24
ODF2L,2.79914326698221e-22,0.667353425339018,0.634,0.118,4.18443926981171e-18
DDX6,8.18311577453556e-09,0.665422954537171,0.927,0.561,0.000122329397713532
HCST,1.50800732023267e-07,0.65968907785274,0.976,0.802,0.00225432014301582
GIMAP7,1.10237469776276e-10,0.657382157106013,0.659,0.211,1.64793993568554e-06
SEPTIN6,5.49360532513868e-09,0.657238347092742,0.854,0.436,8.21239060054981e-05
ADGRG1,1.5448561513407e-44,0.647050097382811,0.341,0.015,2.30940546063921e-40
NPM1,3.77679035164173e-07,0.642662533740326,0.976,0.803,0.00564592389666922
PNISR,1.82024727529047e-07,0.638412889801298,0.951,0.761,0.00272108765183173
RPS27,1.30014071361889e-12,0.635079689217434,1,0.999,1.94358035278889e-08
CDC42SE2,2.77369779327989e-08,0.634843264364456,0.976,0.618,0.000414640083117411
PIP4K2A,8.69142163033064e-08,0.633950090629981,0.854,0.465,0.00129928061951813
ANKRD12,6.83829267480368e-07,0.632621122494398,0.927,0.585,0.010222563719564
FUS,4.95338836452836e-07,0.63195301943774,1,0.754,0.00740482026613344
EPB41,3.67788606332417e-09,0.628193341616252,0.829,0.383,5.49807187606331e-05
CCL4,3.80440785814499e-38,0.623605468313193,0.39,0.024,5.68720930714094e-34
ACAP1,4.41396709895155e-11,0.623134079515455,0.634,0.217,6.59843941622267e-07
SUN2,7.02079059426853e-07,0.619575352209144,0.78,0.407,0.010495379859372
FCMR,3.96558691580743e-32,0.618309055563151,0.463,0.044,5.92815588044053e-28
FAM177A1,3.21981789299448e-06,0.612607120324086,0.463,0.193,0.0481330576823745
CD52,1.5290758217067e-06,0.611439740743985,1,0.827,0.0228581544586935
ARHGAP15,2.95762449907696e-15,0.61117393047936,0.732,0.202,4.42135286367015e-11
PARP8,4.09949473849949e-09,0.61079168571148,0.78,0.336,6.12833468458288e-05
LBH,1.82560462497376e-34,0.610672034035213,0.463,0.041,2.72909635387328e-30
TERF1,1.50190957214211e-10,0.604755307836245,0.61,0.2,2.24520461939524e-06
PRRC2C,5.59200144788041e-07,0.604316884825439,0.976,0.723,0.00835948296443643
